Repetition,Experiment,Duration (s),Path Length (m),Final X,Final Y,Final Z,Target Error (m),Success
exp_waypoint_rep1,waypoint,9.1105,4.1212,0.4986,0.0026,0.3028,0.004085,True
exp_waypoint_rep2,waypoint,13.2442,5.1399,0.509,0.0023,0.3022,0.009508,True
exp_waypoint_rep3,waypoint,9.8322,4.7573,0.4979,-0.004,0.2981,0.004916,True
exp_waypoint_rep4,waypoint,13.4413,6.6032,0.4992,-0.0025,0.2905,0.009888,True
exp_waypoint_rep5,waypoint,10.1193,10.593,0.5046,-0.0068,0.3027,0.008668,True
exp_waypoint_rep6,waypoint,9.055,2.8631,0.4977,0.0063,0.3009,0.006738,True
exp_waypoint_rep7,waypoint,12.5122,6.6744,0.499,0.0001,0.2959,0.004219,True
exp_waypoint_rep8,waypoint,12.9974,7.5998,0.5047,-0.0016,0.2984,0.005186,True
exp_waypoint_rep9,waypoint,11.3305,6.6213,0.4988,-0.0025,0.2961,0.004773,True
exp_waypoint_rep10,waypoint,16.0742,5.1051,0.5006,-0.0011,0.3003,0.001288,True
