Repetition,Experiment,Duration (s),Path Length (m),Final X,Final Y,Final Z,Target Error (m),Success
exp_home_to_pose_rep1,home_to_pose,6.2303,2.2463,0.4068,0.197,0.3986,0.007547,True
exp_pick_place_rep1,pick_place,14.5531,6.0039,0.5075,-0.1961,0.1019,0.008689,True
exp_waypoint_rep1,waypoint,8.2004,2.7354,0.5035,-0.0039,0.2959,0.006646,True
exp_waypoint_rep2,waypoint,13.1169,7.9878,0.5016,-0.0017,0.2984,0.002828,True
exp_pick_place_rep2,pick_place,19.8104,11.0205,0.5018,-0.1996,0.0933,0.006963,True
exp_home_to_pose_rep2,home_to_pose,5.4294,1.9763,0.3951,0.2015,0.3997,0.005094,True
exp_waypoint_rep3,waypoint,10.9485,6.4845,0.5037,-0.0028,0.3084,0.00963,True
exp_home_to_pose_rep3,home_to_pose,4.7134,1.0037,0.3966,0.1986,0.4075,0.008379,True
exp_pick_place_rep3,pick_place,18.8895,11.7452,0.5027,-0.2064,0.0937,0.009323,True
exp_waypoint_rep4,waypoint,9.4502,4.9448,0.5001,0.0034,0.2961,0.005178,True
exp_home_to_pose_rep4,home_to_pose,6.5353,2.1065,0.398,0.1934,0.404,0.007959,True
exp_pick_place_rep4,pick_place,17.4478,11.8713,0.4985,-0.2063,0.0948,0.008326,True
exp_waypoint_rep5,waypoint,7.9024,4.0472,0.4987,0.0034,0.3002,0.00365,True
exp_pick_place_rep5,pick_place,20.0801,12.4026,0.4991,-0.1924,0.1051,0.009208,True
exp_home_to_pose_rep5,home_to_pose,3.698,1.4168,0.3952,0.1982,0.4073,0.008904,True
exp_home_to_pose_rep6,home_to_pose,4.9636,2.4822,0.3998,0.2019,0.3911,0.00906,True
exp_pick_place_rep6,pick_place,20.3772,16.1234,0.4962,-0.1931,0.0985,0.008007,True
exp_waypoint_rep6,waypoint,10.4031,4.3907,0.4944,0.0058,0.3007,0.008105,True
exp_pick_place_rep7,pick_place,20.5551,13.5432,0.5036,-0.2052,0.0975,0.006778,True
exp_waypoint_rep7,waypoint,12.3925,8.7996,0.4998,0.0025,0.3079,0.008337,True
exp_home_to_pose_rep7,home_to_pose,3.6683,1.9575,0.3976,0.2024,0.4083,0.008956,True
exp_pick_place_rep8,pick_place,16.8879,9.5803,0.5049,-0.1919,0.1014,0.009563,True
exp_home_to_pose_rep8,home_to_pose,5.5101,1.2863,0.4002,0.1986,0.4025,0.002831,True
exp_waypoint_rep8,waypoint,16.3366,7.7978,0.503,0.0041,0.3075,0.009031,True
exp_pick_place_rep9,pick_place,21.7433,14.3148,0.4922,-0.201,0.1028,0.008382,True
exp_waypoint_rep9,waypoint,14.241,5.9697,0.4993,0.001,0.299,0.001563,True
exp_home_to_pose_rep9,home_to_pose,4.3139,2.682,0.3905,0.2002,0.3972,0.009942,True
exp_waypoint_rep10,waypoint,8.6955,5.6024,0.4957,-0.0054,0.298,0.007164,True
exp_home_to_pose_rep10,home_to_pose,3.5868,0.4581,0.3934,0.2036,0.4021,0.007798,True
exp_pick_place_rep10,pick_place,9.9351,4.0107,0.5004,-0.1938,0.0929,0.009445,True
